iter	Passed	Remaining
432	1538	2014
433	1541	2010
434	1544	2006
435	1547	2002
436	1551	1998
437	1554	1994
438	1558	1991
439	1561	1987
440	1565	1983
441	1568	1980
442	1575	1980
443	1578	1976
444	1581	1972
445	1585	1969
446	1588	1964
447	1591	1961
448	1595	1957
449	1598	1953
450	1601	1949
451	1604	1945
452	1608	1941
453	1611	1937
454	1614	1933
455	1617	1930
456	1621	1926
457	1624	1922
458	1628	1919
459	1632	1915
460	1637	1914
461	1642	1912
462	1646	1909
463	1650	1906
464	1656	1905
465	1661	1903
466	1666	1901
467	1670	1899
468	1675	1896
469	1690	1905
470	1695	1904
471	1701	1902
472	1706	1901
473	1711	1899
474	1718	1898
475	1745	1921
476	1753	1922
477	1769	1932
478	1778	1934
479	1783	1932
480	1787	1928
481	1793	1927
482	1798	1925
483	1803	1922
484	1807	1919
485	1811	1916
486	1815	1912
487	1818	1908
488	1822	1904
489	1826	1900
490	1830	1897
491	1834	1894
492	1839	1891
493	1842	1887
494	1846	1883
495	1849	1879
496	1853	1875
497	1856	1870
498	1859	1866
499	1862	1862
500	1865	1858
501	1870	1855
502	1881	1858
503	1903	1873
504	1907	1869
505	1924	1878
506	1928	1875
507	1931	1871
508	1935	1867
509	1938	1862
510	1942	1858
511	1946	1854
512	1949	1850
513	1953	1846
514	1955	1842
515	1959	1837
516	1963	1834
517	1966	1829
518	1970	1825
519	1972	1820
520	1975	1816
521	1978	1811
522	1982	1807
523	1985	1803
524	1988	1799
525	1992	1795
526	1995	1790
527	1998	1786
528	2002	1782
529	2005	1778
530	2008	1774
531	2012	1770
532	2015	1766
533	2018	1761
534	2021	1757
535	2025	1753
536	2028	1748
537	2031	1744
538	2035	1740
539	2038	1736
540	2042	1732
541	2045	1728
542	2050	1725
543	2056	1723
544	2060	1720
545	2064	1716
546	2068	1713
547	2072	1709
548	2075	1705
549	2079	1701
550	2085	1699
551	2090	1696
552	2093	1692
553	2097	1688
554	2100	1684
555	2105	1680
556	2108	1677
557	2112	1673
558	2116	1669
559	2120	1666
560	2124	1662
561	2127	1657
562	2130	1653
563	2134	1649
564	2137	1645
565	2140	1641
566	2143	1636
567	2146	1632
568	2149	1628
569	2152	1623
570	2155	1619
571	2158	1615
572	2161	1610
573	2165	1606
574	2168	1602
575	2172	1599
576	2175	1595
577	2179	1591
578	2182	1587
579	2185	1582
580	2188	1578
581	2192	1574
582	2195	1570
583	2199	1566
584	2203	1562
585	2206	1558
586	2209	1554
587	2212	1550
588	2215	1546
589	2219	1542
590	2223	1538
591	2226	1534
592	2230	1530
593	2233	1526
594	2236	1522
595	2239	1518
596	2242	1513
597	2245	1509
598	2249	1506
599	2252	1501
600	2255	1497
601	2259	1493
602	2262	1489
603	2265	1485
604	2268	1481
605	2271	1477
606	2274	1472
607	2277	1468
608	2281	1464
609	2284	1460
610	2287	1456
611	2290	1452
612	2294	1448
613	2297	1444
614	2300	1440
615	2303	1436
616	2307	1432
617	2310	1428
618	2313	1423
619	2316	1420
620	2320	1416
621	2323	1412
622	2327	1408
623	2330	1404
624	2333	1400
625	2336	1396
626	2340	1392
627	2343	1388
628	2347	1384
629	2351	1380
630	2354	1376
631	2357	1372
632	2361	1368
633	2364	1364
634	2367	1361
635	2371	1357
636	2374	1353
637	2376	1348
638	2379	1344
639	2383	1340
640	2388	1337
641	2391	1333
642	2395	1329
643	2399	1326
644	2402	1322
645	2406	1318
646	2409	1314
647	2412	1310
648	2417	1307
649	2422	1304
650	2425	1300
651	2428	1296
652	2432	1292
653	2438	1290
654	2442	1286
655	2445	1282
656	2449	1278
657	2451	1274
658	2455	1270
659	2458	1266
660	2462	1262
661	2465	1259
662	2468	1254
663	2471	1250
664	2474	1246
665	2479	1243
666	2482	1239
667	2486	1235
668	2489	1231
669	2493	1227
670	2497	1224
671	2500	1220
672	2503	1216
673	2507	1212
674	2510	1208
675	2513	1204
676	2516	1200
677	2520	1197
678	2523	1193
679	2527	1189
680	2529	1185
681	2533	1181
682	2537	1177
683	2539	1173
684	2543	1169
685	2546	1165
686	2550	1162
687	2554	1158
688	2557	1154
689	2560	1150
690	2563	1146
691	2567	1142
692	2571	1139
693	2574	1135
694	2577	1130
695	2580	1127
696	2583	1123
697	2587	1119
698	2590	1115
699	2594	1111
700	2596	1107
701	2599	1103
702	2602	1099
703	2605	1095
704	2609	1091
705	2612	1087
706	2615	1083
707	2618	1080
708	2621	1076
709	2626	1072
710	2629	1068
711	2632	1064
712	2635	1060
713	2639	1057
714	2642	1053
715	2645	1049
716	2649	1045
717	2651	1041
718	2655	1037
719	2658	1033
720	2662	1030
721	2666	1026
722	2669	1022
723	2672	1018
724	2676	1015
725	2679	1011
726	2682	1007
727	2685	1003
728	2688	999
729	2691	995
730	2695	991
731	2698	988
732	2702	984
733	2705	980
734	2710	977
735	2713	973
736	2717	969
737	2720	965
738	2723	961
739	2726	958
740	2730	954
741	2733	950
742	2736	946
743	2739	942
744	2743	939
745	2746	935
746	2750	931
747	2755	928
748	2758	924
749	2762	920
750	2766	917
751	2768	913
752	2772	909
753	2776	905
754	2779	901
755	2782	898
756	2785	894
757	2788	890
758	2791	886
759	2795	882
760	2798	878
761	2801	875
762	2805	871
763	2807	867
764	2810	863
765	2814	859
766	2817	855
767	2820	852
768	2823	848
769	2826	844
770	2829	840
771	2833	836
772	2837	833
773	2840	829
774	2843	825
775	2848	822
776	2851	818
777	2854	814
778	2857	810
779	2861	807
780	2864	803
781	2867	799
782	2870	795
783	2874	791
784	2877	788
785	2881	784
786	2885	780
787	2889	777
788	2893	773
789	2896	769
790	2899	766
791	2903	762
792	2906	758
793	2910	755
794	2914	751
795	2918	747
796	2921	744
797	2925	740
798	2928	736
799	2931	732
800	2935	729
801	2938	725
802	2941	721
803	2945	718
804	2949	714
805	2952	710
806	2956	706
807	2959	703
808	2962	699
809	2965	695
810	2969	691
811	2972	688
812	2974	684
813	2977	680
814	2981	676
815	2984	673
816	2987	669
817	2991	665
818	2994	661
819	2997	658
820	3000	654
821	3003	650
822	3006	646
823	3010	642
824	3014	639
825	3017	635
826	3021	632
827	3024	628
828	3027	624
829	3031	620
830	3034	617
831	3038	613
832	3041	609
833	3045	606
834	3048	602
835	3051	598
836	3055	595
837	3058	591
838	3061	587
839	3065	583
840	3068	580
841	3071	576
842	3074	572
843	3078	568
844	3081	565
845	3084	561
846	3087	557
847	3091	554
848	3094	550
849	3098	546
850	3101	543
851	3105	539
852	3108	535
853	3110	531
854	3114	528
855	3118	524
856	3121	520
857	3124	517
858	3128	513
859	3131	509
860	3134	506
861	3137	502
862	3140	498
863	3144	494
864	3147	491
865	3150	487
866	3153	483
867	3157	480
868	3160	476
869	3164	472
870	3166	469
871	3170	465
872	3174	461
873	3178	458
874	3181	454
875	3184	450
876	3188	447
877	3191	443
878	3196	440
879	3200	436
880	3205	432
881	3209	429
882	3213	425
883	3217	422
884	3221	418
885	3224	414
886	3228	411
887	3231	407
888	3234	403
889	3238	400
890	3241	396
891	3245	392
892	3248	389
893	3251	385
894	3254	381
895	3257	378
896	3260	374
897	3263	370
898	3267	367
899	3270	363
900	3274	359
901	3278	356
902	3281	352
903	3284	348
904	3288	345
905	3291	341
906	3294	337
907	3298	334
908	3302	330
909	3305	326
910	3308	323
911	3312	319
912	3314	315
913	3317	312
914	3320	308
915	3323	304
916	3327	301
917	3330	297
918	3333	293
919	3336	290
920	3339	286
921	3342	282
922	3345	279
923	3349	275
924	3352	271
925	3355	268
926	3359	264
927	3362	260
928	3365	257
929	3368	253
930	3372	249
931	3375	246
932	3379	242
933	3383	239
934	3386	235
935	3389	231
936	3393	228
937	3397	224
938	3401	220
939	3404	217
940	3410	213
941	3414	210
942	3417	206
943	3420	202
944	3424	199
945	3426	195
946	3430	192
947	3433	188
948	3437	184
949	3440	181
950	3443	177
951	3447	173
952	3450	170
953	3454	166
954	3457	162
955	3460	159
956	3464	155
957	3470	152
958	3478	148
959	3484	145
960	3493	141
961	3501	138
962	3517	135
963	3538	132
964	3545	128
965	3551	124
966	3558	121
967	3563	117
968	3571	114
969	3577	110
970	3583	107
971	3597	103
972	3601	99
973	3607	96
974	3611	92
975	3615	88
976	3620	85
977	3629	81
978	3635	77
979	3639	74
980	3643	70
981	3650	66
982	3654	63
983	3657	59
984	3660	55
985	3663	52
986	3666	48
987	3670	44
988	3672	40
989	3675	37
990	3679	33
991	3683	29
992	3686	25
993	3690	22
994	3692	18
995	3696	14
996	3699	11
997	3702	7
998	3705	3
999	3708	0
