iter	RMSE
140	9.109450565
141	9.096521716
142	9.08306843
143	9.067869324
144	9.049847827
145	9.038939139
146	9.018328722
147	9.006753369
148	8.99015946
149	8.978241195
150	8.973210797
151	8.959522664
152	8.939351559
153	8.929729429
154	8.917085724
155	8.905766681
156	8.893597128
157	8.872387493
158	8.858862077
159	8.846612343
160	8.827875385
161	8.812929469
162	8.792803133
163	8.78295555
164	8.76425816
165	8.750387287
166	8.743423233
167	8.734947993
168	8.715216614
169	8.70290745
170	8.692439648
171	8.680869999
172	8.657449457
173	8.640298107
174	8.628693154
175	8.615689235
176	8.599539483
177	8.589264493
178	8.576206227
179	8.563530201
180	8.553270225
181	8.536829032
182	8.528938646
183	8.523137157
184	8.507564817
185	8.495220009
186	8.484196891
187	8.477500642
188	8.465239834
189	8.455144209
190	8.439296885
191	8.425498775
192	8.412917254
193	8.397503064
194	8.380461886
195	8.360755037
196	8.347207351
197	8.338777424
198	8.331470113
199	8.320032261
200	8.313657823
201	8.295306376
202	8.274801291
203	8.257975841
204	8.246315316
205	8.238819476
206	8.228071159
207	8.213809743
208	8.205631041
209	8.186738248
210	8.175906362
211	8.16816169
212	8.150097444
213	8.140470938
214	8.135267732
215	8.124397124
216	8.104158988
217	8.092618436
218	8.080465773
219	8.061207591
220	8.050199145
221	8.040185793
222	8.031177104
223	8.021926994
224	8.012747938
225	8.006037626
226	7.997584284
227	7.987200499
228	7.974984517
229	7.968741981
230	7.958303219
231	7.952178675
232	7.943722986
233	7.934611358
234	7.928835731
235	7.912042832
236	7.907117843
237	7.899020099
238	7.885456737
239	7.878070367
240	7.870355458
241	7.860562333
242	7.855020741
243	7.845016507
244	7.835317927
245	7.827324937
246	7.821873405
247	7.816996755
248	7.801750571
249	7.79590218
250	7.790010839
251	7.774397404
252	7.767548434
253	7.756468966
254	7.742139337
255	7.733134451
256	7.726155807
257	7.716625745
258	7.712104223
259	7.706636621
260	7.698760056
261	7.683578389
262	7.670989382
263	7.664710531
264	7.655937725
265	7.65077064
266	7.645212993
267	7.641169556
268	7.634401978
269	7.626625869
270	7.622085298
271	7.611629093
272	7.605843186
273	7.597206333
274	7.588822901
275	7.573075898
276	7.557612512
277	7.549658388
278	7.534584888
279	7.530347666
280	7.522224756
281	7.516105126
282	7.505469537
283	7.495579449
284	7.489966341
285	7.482671094
286	7.476050097
287	7.466675123
288	7.451625538
289	7.4378641
290	7.430813744
291	7.426900594
292	7.421986706
293	7.417292139
294	7.409658503
295	7.404219384
296	7.393423184
297	7.379857233
298	7.375342827
299	7.362177869
300	7.356587133
301	7.35024993
302	7.341336382
303	7.33498115
304	7.331415038
305	7.324255005
306	7.316153108
307	7.305112661
308	7.291388676
309	7.286954323
310	7.282440693
311	7.275824073
312	7.264456008
313	7.260625869
314	7.251352747
315	7.246230276
316	7.236686022
317	7.231275162
318	7.228731439
319	7.224421691
320	7.22110363
321	7.216095945
322	7.212333823
323	7.199869418
324	7.190848121
325	7.181997058
326	7.178695365
327	7.174535059
328	7.166855867
329	7.16249784
330	7.153180159
331	7.150220852
332	7.144727921
333	7.137400985
334	7.134700186
335	7.123425646
336	7.114872456
337	7.106393313
338	7.099763606
339	7.093426173
340	7.085466869
341	7.079444982
342	7.073846564
343	7.070837441
344	7.066020721
345	7.059080325
346	7.05407482
347	7.048480509
348	7.04279056
349	7.036840548
350	7.028591595
351	7.023256914
352	7.015216637
353	7.007727522
354	7.004673475
355	6.996846246
356	6.994228757
357	6.989475548
358	6.986318958
359	6.979858378
360	6.976983351
361	6.965259198
362	6.957701908
363	6.953374231
364	6.942798844
365	6.937325699
366	6.929709269
367	6.923489367
368	6.918294983
369	6.911965714
370	6.907038921
371	6.90145166
372	6.894105024
373	6.888986807
374	6.884571568
375	6.879549891
376	6.874811748
377	6.872902761
378	6.865884363
379	6.863333734
380	6.855938774
381	6.850712436
382	6.845501562
383	6.837108016
384	6.832194445
385	6.824913938
386	6.817593693
387	6.812959908
388	6.807008739
389	6.804147773
390	6.795367273
391	6.788588074
392	6.77823138
393	6.772926158
394	6.763409276
395	6.760382769
396	6.757729284
397	6.753745302
398	6.747432705
399	6.74183216
400	6.73394627
401	6.729837274
402	6.723914998
403	6.718013656
404	6.715183245
405	6.707659771
406	6.706000733
407	6.703263309
408	6.700634123
409	6.697738749
410	6.691620097
411	6.684702673
412	6.678106426
413	6.674675511
414	6.67004335
415	6.665535816
416	6.661337349
417	6.653684864
418	6.64731771
419	6.641804547
420	6.636755855
421	6.632010686
422	6.62583302
423	6.617187993
424	6.611048269
425	6.606288015
426	6.600217272
427	6.596934364
428	6.592413518
429	6.588561576
430	6.586389553
431	6.581400634
432	6.577062491
433	6.569128758
434	6.563871451
435	6.559020914
436	6.555390563
437	6.55236439
438	6.546446763
439	6.541201392
440	6.539025394
441	6.534391554
442	6.530635635
443	6.525975627
444	6.523546654
445	6.516198452
446	6.514002497
447	6.51020983
448	6.506627665
449	6.502589639
450	6.496109667
451	6.494004894
452	6.488096704
453	6.483193911
454	6.480198248
455	6.474553466
456	6.469643004
457	6.466771493
458	6.46412956
459	6.461896738
460	6.45651172
461	6.451683664
462	6.445812677
463	6.44099408
464	6.438392261
465	6.431913573
466	6.425437103
467	6.422647855
468	6.418597769
469	6.411788956
470	6.409074156
471	6.404632777
472	6.400715051
473	6.395803893
474	6.39319595
475	6.390734633
476	6.388377828
477	6.38649424
478	6.380367998
479	6.376744565
480	6.374366302
481	6.372097186
482	6.368751918
483	6.364818403
484	6.361887574
485	6.35638045
486	6.35220257
487	6.348845973
488	6.342586162
489	6.339663279
490	6.337875212
491	6.331154882
492	6.326828608
493	6.323439526
494	6.320934602
495	6.311388064
496	6.309463354
497	6.305896443
498	6.300964865
499	6.297184962
500	6.294919267
501	6.292266925
502	6.287097938
503	6.284963386
504	6.282077761
505	6.279453621
506	6.2752132
507	6.273863672
508	6.27052197
509	6.268484057
510	6.26635873
511	6.264601643
512	6.262429009
513	6.258965784
514	6.254999916
515	6.253016629
516	6.24943683
517	6.244098315
518	6.240488982
519	6.238496235
520	6.235318046
521	6.23227914
522	6.227105957
523	6.222684963
524	6.220412864
525	6.218536185
526	6.215476381
527	6.211032358
528	6.206023514
529	6.201384431
530	6.196805254
531	6.193485151
532	6.191853807
533	6.190019054
534	6.188476255
535	6.185965083
536	6.183358735
537	6.179384935
538	6.177218462
539	6.175415453
540	6.169490558
541	6.164651947
542	6.161122
543	6.158507926
544	6.155067237
545	6.153174725
546	6.14991134
547	6.146790571
548	6.1439068
549	6.142060179
550	6.137286641
551	6.13452579
552	6.131465267
553	6.128845467
554	6.12744356
555	6.123992751
556	6.12263044
557	6.118538028
558	6.115712858
559	6.1138794
560	6.110655956
561	6.108340668
562	6.106716401
563	6.104602839
564	6.102119375
565	6.10015774
566	6.097482423
567	6.09493206
568	6.09332941
569	6.091580335
570	6.088517962
571	6.083431991
572	6.081415503
573	6.078831544
574	6.076397751
575	6.074038475
576	6.072154071
577	6.068959393
578	6.066599759
579	6.064147516
580	6.058683538
581	6.054345538
582	6.050025844
583	6.045872415
584	6.043630871
585	6.041305172
586	6.038836515
587	6.036546066
588	6.034281412
589	6.032005255
590	6.029665463
591	6.027505588
592	6.023548993
593	6.020727072
594	6.019072457
595	6.015584626
596	6.012430344
597	6.008711361
598	6.006807435
599	6.004955684
600	6.002837483
601	6.000783902
602	5.999382811
603	5.997427112
604	5.993670848
605	5.991272022
606	5.989562258
607	5.988467022
608	5.987069287
609	5.985173541
610	5.983013336
611	5.980154113
612	5.978183024
613	5.976344045
614	5.974560715
615	5.972906869
616	5.971177661
617	5.96695387
618	5.965110649
619	5.960131422
620	5.958701536
621	5.956540748
622	5.954700068
623	5.951888817
624	5.949245097
625	5.94745427
626	5.943727859
627	5.940664034
628	5.939000779
629	5.937795348
630	5.93335833
631	5.931258854
632	5.929889485
633	5.928008476
634	5.926726836
635	5.924132199
636	5.922414294
637	5.920970857
638	5.919656902
639	5.9183736
640	5.917145201
641	5.91447765
642	5.912734098
643	5.911555399
644	5.908840968
645	5.907629935
646	5.902187419
647	5.900484927
648	5.898704975
649	5.896285436
650	5.895030777
651	5.892098454
652	5.890131143
653	5.887050373
654	5.884972694
655	5.882986062
656	5.87914361
657	5.877545107
658	5.875805709
659	5.871155161
660	5.869399271
661	5.867915152
662	5.865424959
663	5.863109193
664	5.861837342
665	5.859234625
666	5.855037555
667	5.85347473
668	5.848115679
669	5.84617232
670	5.844721406
671	5.843291763
672	5.839066948
673	5.838525124
674	5.836482481
675	5.834402458
676	5.832884462
677	5.831383292
678	5.830195447
679	5.828648178
680	5.827142811
681	5.824875178
682	5.823024625
683	5.820570394
684	5.818165215
685	5.81702826
686	5.814923579
687	5.810951197
688	5.806843371
689	5.804419185
690	5.802574198
691	5.801551268
692	5.800246688
693	5.796605796
694	5.792427447
695	5.789155768
696	5.787932223
697	5.786040857
698	5.785293014
699	5.781042753
700	5.779623242
701	5.77763233
702	5.774869116
703	5.773498331
704	5.772261978
705	5.768126224
706	5.7648534
707	5.762365795
708	5.760948486
709	5.758393785
710	5.75744985
711	5.753652733
712	5.751580624
713	5.749965986
714	5.746264686
715	5.74259238
716	5.741698614
717	5.738516049
718	5.735473668
719	5.733893332
720	5.732094285
721	5.729954597
722	5.728236915
723	5.726644056
724	5.725613368
725	5.724032553
726	5.72263676
727	5.721860609
728	5.720166464
729	5.718687616
730	5.717171286
731	5.71572551
732	5.711115322
733	5.709858376
734	5.708849337
735	5.707811115
736	5.706297918
737	5.705634213
738	5.701203774
739	5.699197249
740	5.6980048
741	5.696139602
742	5.694741546
743	5.692711714
744	5.691039299
745	5.688873887
746	5.686815099
747	5.684965345
748	5.681460757
749	5.679701757
750	5.678202711
751	5.676331115
752	5.675087834
753	5.673524203
754	5.672749793
755	5.671133954
756	5.669908267
757	5.667350239
758	5.666220867
759	5.664458656
760	5.662968488
761	5.661780482
762	5.659520453
763	5.659324798
764	5.658335282
765	5.657218257
766	5.655767834
767	5.653195522
768	5.651194446
769	5.649843292
770	5.648892513
771	5.647112
772	5.64619647
773	5.644525045
774	5.642140163
775	5.639815375
776	5.638182262
777	5.636092265
778	5.635476444
779	5.634285743
780	5.632440533
781	5.630954172
782	5.629092858
783	5.628237305
784	5.624867575
785	5.624000294
786	5.623065254
787	5.621505089
788	5.618585826
789	5.616399571
790	5.614850632
791	5.613614287
792	5.611138706
793	5.610212107
794	5.609322585
795	5.607606784
796	5.60678417
797	5.605951463
798	5.603357919
799	5.601783747
800	5.600167581
801	5.598666787
802	5.59762526
803	5.594604773
804	5.593393117
805	5.591761331
806	5.588102321
807	5.586712852
808	5.58498525
809	5.583668335
810	5.582249551
811	5.581839694
812	5.580681655
813	5.579118587
814	5.577160977
815	5.574012031
816	5.572726088
817	5.571894316
818	5.570452674
819	5.569053087
820	5.568272559
821	5.567568728
822	5.564955875
823	5.563744438
824	5.560792235
825	5.559075193
826	5.557321069
827	5.556556645
828	5.555481497
829	5.553875064
830	5.552707369
831	5.55058003
832	5.549830076
833	5.548665194
834	5.54824622
835	5.546860208
836	5.545494888
837	5.54440128
838	5.544164295
839	5.543254311
840	5.542844499
841	5.542325159
842	5.541662206
843	5.540147728
844	5.538608608
845	5.536776105
846	5.536633447
847	5.534020536
848	5.532683266
849	5.530965219
850	5.529743697
851	5.529098088
852	5.526922042
853	5.526227485
854	5.524244472
855	5.523021114
856	5.521505993
857	5.518681362
858	5.51701027
859	5.515868385
860	5.51451166
861	5.513873032
862	5.511163499
863	5.509638265
864	5.508945811
865	5.508008344
866	5.507496629
867	5.505291225
868	5.503345722
869	5.501332147
870	5.498468761
871	5.497665291
872	5.495502552
873	5.494378119
874	5.492438135
875	5.490562248
876	5.489205125
877	5.488096243
878	5.487153308
879	5.485112545
880	5.484250417
881	5.481386735
882	5.480258756
883	5.479048194
884	5.477507191
885	5.475760266
886	5.47383011
887	5.471710279
888	5.469830852
889	5.467949757
890	5.466730792
891	5.465512564
892	5.465173625
893	5.464383677
894	5.464004009
895	5.46316012
896	5.46147835
897	5.459895332
898	5.458856718
899	5.45740996
900	5.456949641
901	5.456018707
902	5.455112053
903	5.454585631
904	5.453603174
905	5.452230133
906	5.451215754
907	5.448797869
908	5.447430725
909	5.445814075
910	5.443471318
911	5.442963849
912	5.442048526
913	5.441117674
914	5.440193651
915	5.4388348
916	5.438025831
917	5.43567005
918	5.435049034
919	5.432850439
920	5.431940962
921	5.430364488
922	5.429899429
923	5.428757587
924	5.427768307
925	5.426823616
926	5.42555568
927	5.42345173
928	5.423028618
929	5.42210637
930	5.421479142
931	5.420731671
932	5.420288893
933	5.41735803
934	5.416518099
935	5.416182084
936	5.414379827
937	5.412780691
938	5.411775589
939	5.41094279
940	5.409974514
941	5.409221836
942	5.407746792
943	5.406760953
944	5.405766576
945	5.405061051
946	5.404341514
947	5.403691586
948	5.402731407
949	5.401480504
950	5.399960649
951	5.399163801
952	5.398535057
953	5.39767192
954	5.396992339
955	5.395880681
956	5.393901103
957	5.392700244
958	5.391823203
959	5.391071768
960	5.390515406
961	5.388450227
962	5.387989809
963	5.386027386
964	5.385333276
965	5.384917226
966	5.383345058
967	5.382003912
968	5.381418902
969	5.380624904
970	5.379534639
971	5.378916717
972	5.378029597
973	5.376718689
974	5.375865186
975	5.374329896
976	5.373809695
977	5.373100178
978	5.372690907
979	5.372092629
980	5.371360399
981	5.370447642
982	5.369825353
983	5.368907842
984	5.36831857
985	5.367127373
986	5.366542982
987	5.365884512
988	5.364767764
989	5.36423041
990	5.363557962
991	5.362633904
992	5.361350356
993	5.360528175
994	5.359816153
995	5.358410009
996	5.357860174
997	5.356492715
998	5.355811057
999	5.354480337
